gen_capacity,generator,type,var_cost
660.0,COAL-NEW-1,coal,2900.0
660.0,COAL-NEW-2,coal,2901.0
660.0,COAL-NEW-3,coal,2902.0
660.0,COAL-NEW-4,coal,2903.0
660.0,COAL-NEW-5,coal,2904.0
660.0,COAL-NEW-6,coal,2905.0
660.0,COAL-NEW-7,coal,2906.0
660.0,COAL-NEW-8,coal,2907.0
660.0,COAL-NEW-9,coal,2908.0
660.0,COAL-NEW-10,coal,2909.0
660.0,COAL-NEW-11,coal,2910.0
660.0,COAL-NEW-12,coal,2911.0
660.0,COAL-NEW-13,coal,2912.0
660.0,COAL-NEW-14,coal,2913.0
660.0,COAL-NEW-15,coal,2914.0
660.0,COAL-NEW-16,coal,2915.0
660.0,COAL-NEW-17,coal,2916.0
660.0,COAL-NEW-18,coal,2917.0
660.0,COAL-NEW-19,coal,2918.0
660.0,COAL-NEW-20,coal,2919.0
660.0,COAL-NEW-21,coal,2920.0
660.0,COAL-NEW-22,coal,2921.0
660.0,COAL-NEW-23,coal,2922.0
660.0,COAL-NEW-24,coal,2923.0
660.0,COAL-NEW-25,coal,2924.0
660.0,COAL-NEW-26,coal,2925.0
660.0,COAL-NEW-27,coal,2926.0
660.0,COAL-NEW-28,coal,2927.0
660.0,COAL-NEW-29,coal,2928.0
660.0,COAL-NEW-30,coal,2929.0
660.0,COAL-NEW-31,coal,2930.0
660.0,COAL-NEW-32,coal,2931.0
660.0,COAL-NEW-33,coal,2932.0
660.0,COAL-NEW-34,coal,2933.0
660.0,COAL-NEW-35,coal,2934.0
660.0,COAL-NEW-36,coal,2935.0
660.0,COAL-NEW-37,coal,2936.0
660.0,COAL-NEW-38,coal,2937.0
660.0,COAL-NEW-39,coal,2938.0
660.0,COAL-NEW-40,coal,2939.0
660.0,COAL-NEW-41,coal,2940.0
660.0,COAL-NEW-42,coal,2941.0
660.0,COAL-NEW-43,coal,2942.0
660.0,COAL-NEW-44,coal,2943.0
660.0,COAL-NEW-45,coal,2944.0
660.0,COAL-NEW-46,coal,2945.0
660.0,COAL-NEW-47,coal,2946.0
660.0,COAL-NEW-48,coal,2947.0
660.0,COAL-NEW-49,coal,2948.0
660.0,COAL-NEW-50,coal,2949.0
660.0,COAL-NEW-51,coal,2950.0
660.0,COAL-NEW-52,coal,2951.0
660.0,COAL-NEW-53,coal,2952.0
660.0,COAL-NEW-54,coal,2953.0
660.0,COAL-NEW-55,coal,2954.0
660.0,COAL-NEW-56,coal,2955.0
660.0,COAL-NEW-57,coal,2956.0
660.0,COAL-NEW-58,coal,2957.0
660.0,COAL-NEW-59,coal,2958.0
660.0,COAL-NEW-60,coal,2959.0
660.0,COAL-NEW-61,coal,2960.0
660.0,COAL-NEW-62,coal,2961.0
660.0,COAL-NEW-63,coal,2962.0
660.0,COAL-NEW-64,coal,2963.0
660.0,COAL-NEW-65,coal,2964.0
660.0,COAL-NEW-66,coal,2965.0
660.0,COAL-NEW-67,coal,2966.0
660.0,COAL-NEW-68,coal,2967.0
660.0,COAL-NEW-69,coal,2968.0
660.0,COAL-NEW-70,coal,2969.0
660.0,COAL-NEW-71,coal,2970.0
660.0,COAL-NEW-72,coal,2971.0
660.0,COAL-NEW-73,coal,2972.0
660.0,COAL-NEW-74,coal,2973.0
660.0,COAL-NEW-75,coal,2974.0
660.0,COAL-NEW-76,coal,2975.0
660.0,COAL-NEW-77,coal,2976.0
660.0,COAL-NEW-78,coal,2977.0
660.0,COAL-NEW-79,coal,2978.0
660.0,COAL-NEW-80,coal,2979.0
660.0,COAL-NEW-81,coal,2980.0
660.0,COAL-NEW-82,coal,2981.0
660.0,COAL-NEW-83,coal,2982.0
660.0,COAL-NEW-84,coal,2983.0
660.0,COAL-NEW-85,coal,2984.0
660.0,COAL-NEW-86,coal,2985.0
660.0,COAL-NEW-87,coal,2986.0
660.0,COAL-NEW-88,coal,2987.0
660.0,COAL-NEW-89,coal,2988.0
660.0,COAL-NEW-90,coal,2989.0
660.0,COAL-NEW-91,coal,2990.0
660.0,COAL-NEW-92,coal,2991.0
660.0,COAL-NEW-93,coal,2992.0
660.0,COAL-NEW-94,coal,2993.0
660.0,COAL-NEW-95,coal,2994.0
660.0,COAL-NEW-96,coal,2995.0
660.0,COAL-NEW-97,coal,2996.0
660.0,COAL-NEW-98,coal,2997.0
660.0,COAL-NEW-99,coal,2998.0
660.0,COAL-NEW-100,coal,2999.0
660.0,COAL-NEW-101,coal,3000.0
660.0,COAL-NEW-102,coal,3001.0
660.0,COAL-NEW-103,coal,3002.0
660.0,COAL-NEW-104,coal,3003.0
660.0,COAL-NEW-105,coal,3004.0
660.0,COAL-NEW-106,coal,3005.0
660.0,COAL-NEW-107,coal,3006.0
660.0,COAL-NEW-108,coal,3007.0
660.0,COAL-NEW-109,coal,3008.0
660.0,COAL-NEW-110,coal,3009.0
660.0,COAL-NEW-111,coal,3010.0
660.0,COAL-NEW-112,coal,3011.0
660.0,COAL-NEW-113,coal,3012.0
660.0,COAL-NEW-114,coal,3013.0
660.0,COAL-NEW-115,coal,3014.0
660.0,COAL-NEW-116,coal,3015.0
660.0,COAL-NEW-117,coal,3016.0
660.0,COAL-NEW-118,coal,3017.0
660.0,COAL-NEW-119,coal,3018.0
660.0,COAL-NEW-120,coal,3019.0
