,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other
0,1396.73355,2295.33513,3430.0,748.413,0.0,99476.6458242,127167.672496,126.9,8.1,19.2,0.0
1,1396.73355,2295.33513,3430.0,748.413,0.0,96145.1478967,125957.170423,126.9,8.1,19.2,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,92267.2718607,130297.046459,126.9,8.1,19.2,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,85667.9183559,138795.399964,126.9,8.1,19.2,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,79973.0529136,149570.265406,126.9,8.1,19.2,0.0
5,7243.58808205,2295.33513,3430.0,748.413,0.0,77275.5907879,153836.973,253.8,8.1,19.2,0.0
6,17936.3784502,2295.33513,3430.0,748.413,0.0,76035.0004198,153658.773,253.8,8.1,19.2,0.0
7,23673.45,2295.33513,3430.0,748.413,3714.45790638,75427.9852543,154620.258709,253.8,8.1,19.2,0.0
8,21310.8866068,2295.33513,3430.0,748.413,21210.3386689,69148.1535943,153658.773,253.8,8.1,19.2,0.0
9,12260.9760555,2295.33513,3430.0,748.413,39355.4741335,65048.928681,153658.773,253.8,8.1,19.2,0.0
10,1396.73355,2295.33513,3430.0,748.413,54110.7983455,68768.0580924,145461.461882,126.9,8.1,19.2,0.0
11,1396.73355,2295.33513,3430.0,748.413,62899.5152318,69203.7392629,132685.063825,126.9,8.1,19.2,0.0
12,1396.73355,2295.33513,3430.0,748.413,65995.0193725,66244.1861566,127668.112791,126.9,8.1,19.2,0.0
13,1396.73355,2295.33513,3430.0,748.413,63411.1307742,58073.2091657,133323.97838,126.9,8.1,19.2,0.0
14,1396.73355,2295.33513,3430.0,748.413,59051.2717565,54446.927935,136857.118629,126.9,8.1,19.2,0.0
15,1396.73355,2295.33513,3430.0,748.413,47818.4124675,57732.4100711,143520.495781,126.9,8.1,19.2,0.0
16,5211.75889433,2295.33513,3430.0,748.413,28810.2378973,64415.3820784,153658.773,253.8,8.1,19.2,0.0
17,23673.45,2295.33513,3430.0,748.413,3966.40105263,64953.3955068,161305.173,253.8,732.832310599,19.2,0.0
18,23673.45,2295.33513,3430.0,748.413,0.0,75117.5068879,156711.194982,253.8,8.1,19.2,0.0
