,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,netload,netnetload,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,66871.7792726,0.0,0.0,0.0,234669,167797.220727,159926.739047,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,65296.9939903,0.0,0.0,0.0,230127,164830.00601,156959.52433,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,62693.2434002,0.0,0.0,0.0,230589,167895.7566,160025.27492,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,58741.9582264,0.0,0.0,0.0,232488,173746.041774,165875.560094,0.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,55376.6317972,0.0,0.0,0.0,237568,182191.368203,174320.886523,0.0
6,5857.87699185,2295.33513,3430.0,748.413,0.0,53485.5404261,0.0,0.0,0.0,245111,191625.459574,179293.834452,0.0
7,15184.9841877,2295.33513,3430.0,748.413,0.0,53432.4332303,0.0,0.0,0.0,254385,200952.56677,179293.834452,0.0
8,23673.45,2295.33513,3430.0,748.413,4486.53120013,53169.1198381,0.0,0.0,0.0,264191,206535.348962,176388.150832,0.0
9,15519.422446,2295.33513,3430.0,748.413,20872.2916497,49923.7033223,0.0,0.0,0.0,272083,201287.005028,179293.834452,0.0
10,15278.4826901,2295.33513,3430.0,748.413,28536.3078074,47496.6269205,0.0,0.0,0.0,277079,201046.065272,179293.834452,0.0
11,8293.44603469,2295.33513,3430.0,748.413,32040.6043061,50263.3670772,0.0,0.0,0.0,276365,194061.028617,179293.834452,0.0
12,1396.73355,2295.33513,3430.0,748.413,33140.5269615,51656.7535984,0.0,0.0,0.0,272813,188015.71944,180145.23776,0.0
13,1396.73355,2295.33513,3430.0,748.413,32377.1968117,50247.6029675,0.0,0.0,0.0,267932,185307.200221,177436.718541,0.0
14,1396.73355,2295.33513,3430.0,748.413,31149.1472058,44096.3783913,0.0,0.0,0.0,262833,187587.474403,179716.992723,0.0
15,1396.73355,2295.33513,3430.0,748.413,30220.4895193,41251.2139836,0.0,0.0,0.0,258380,186908.296497,179037.814817,0.0
16,1396.73355,2295.33513,3430.0,748.413,26910.9905115,42913.8469628,0.0,0.0,0.0,257096,187271.162526,179400.680846,0.0
17,1396.73355,2295.33513,3430.0,748.413,19636.160203,47202.1240068,0.0,0.0,0.0,258851,192012.71579,184142.23411,0.0
18,23673.45,2295.33513,3430.0,748.413,2488.68993642,47196.4963391,0.0,0.0,0.0,261378,211692.813724,181545.615594,0.0
19,23673.45,2295.33513,3430.0,748.413,0.0,53449.8779304,0.0,0.0,0.0,262257,208807.12207,178659.92394,0.0
20,10735.0997996,2295.33513,3430.0,748.413,0.0,64471.3176184,0.0,0.0,0.0,260974,196502.682382,179293.834452,0.0
21,1396.73355,2295.33513,3430.0,748.413,0.0,70276.5250761,0.0,0.0,0.0,256522,186245.474924,178374.993244,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,70770.1796492,0.0,0.0,0.0,248741,177970.820351,170100.338671,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,68322.4759655,0.0,0.0,0.0,240388,172065.524034,164195.042354,0.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,63942.1289486,0.0,0.0,0.0,233841,169898.871051,162028.389371,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,59110.7366147,0.0,0.0,0.0,229061,169950.263385,162129.72795,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,55035.8862485,0.0,0.0,0.0,225498,170462.113752,162641.578317,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,52450.5319529,0.0,0.0,0.0,224343,171892.468047,164071.932612,0.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,47582.092431,0.0,0.0,0.0,226650,179067.907569,171247.372134,0.0
