,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other
0,1396.73355,2295.33513,3430.0,748.413,0.0,36323.9299324,286640.068388,906.12,7.2,19.2,0.0
1,1396.73355,2295.33513,3430.0,748.413,0.0,35313.7167238,279720.281596,906.12,7.2,19.2,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,33936.7743935,281739.223927,906.12,7.2,19.2,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,31687.2438876,286598.754432,906.12,7.2,19.2,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,29396.3785019,296077.739818,951.4,156.8,19.2,0.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,28283.3536433,308898.324677,1013.84,156.8,19.2,0.0
6,11440.4838269,2295.33513,3430.0,748.413,0.0,28078.2320431,313718.696,1013.84,156.8,19.2,0.0
7,23399.5856375,2295.33513,3430.0,748.413,3714.45790638,28318.6723261,313718.696,1013.84,156.8,19.2,0.0
8,21803.5582912,2295.33513,3430.0,748.413,21210.3386689,26501.8189098,313718.696,1013.84,156.8,19.2,0.0
9,14496.4782656,2295.33513,3430.0,748.413,39355.4741335,24973.927253,313947.532218,1013.84,156.8,19.2,0.0
10,1396.73355,2295.33513,3430.0,748.413,54110.7983455,26714.1944065,309598.685568,1013.84,156.8,19.2,0.0
11,1396.73355,2295.33513,3430.0,748.413,62899.5152318,28148.9232087,293604.959879,906.12,156.8,19.2,0.0
12,1396.73355,2295.33513,3430.0,748.413,65995.0193725,27615.4487681,283214.530179,906.12,7.2,19.2,0.0
13,1396.73355,2295.33513,3430.0,748.413,63411.1307742,23993.7246297,281416.142916,906.12,7.2,19.2,0.0
14,1396.73355,2295.33513,3430.0,748.413,59051.2717565,22324.7925415,280256.934022,906.12,7.2,19.2,0.0
15,1396.73355,2295.33513,3430.0,748.413,47818.4124675,23460.512689,288108.073163,906.12,7.2,19.2,0.0
16,1396.73355,2295.33513,3430.0,748.413,28810.2378973,25628.4391346,306843.001288,1013.84,156.8,19.2,0.0
17,23486.9643269,2295.33513,3430.0,748.413,3966.40105263,25102.3504905,313718.696,1013.84,156.8,19.2,0.0
18,23673.45,2295.33513,3430.0,748.413,0.0,28674.0332532,315010.376,1013.84,208.352616759,19.2,0.0
19,16342.225284,2295.33513,3430.0,748.413,0.0,35391.490586,313718.696,1013.84,156.8,19.2,0.0
20,5850.1829931,2295.33513,3430.0,748.413,0.0,39316.5328769,313718.696,1013.84,156.8,19.2,0.0
21,1396.73355,2295.33513,3430.0,748.413,0.0,39706.4341872,306207.244133,1013.84,156.8,19.2,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,38285.8300782,294805.288242,951.4,156.8,19.2,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,35532.3104175,287274.687903,906.12,7.2,19.2,0.0
24,1361.223375,2280.89906,3430.0,748.413,0.0,32433.8338245,282873.51074,619.72,7.2,19.2,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,30116.3573517,279145.987213,619.72,7.2,19.2,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,27977.8443918,279077.500173,619.72,7.2,19.2,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,25314.986487,284665.358078,619.72,7.2,19.2,0.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,23211.2745102,294843.670055,906.12,7.2,19.2,0.0
29,1361.223375,2280.89906,3430.0,748.413,0.0,22222.7371911,308549.607374,906.12,156.8,19.2,0.0
30,1361.223375,2280.89906,3430.0,748.413,0.0,21559.0344139,324089.590151,1013.84,156.8,19.2,0.0
31,13047.01432,2280.89906,3430.0,748.413,3644.07755717,20636.1000628,325435.656,1013.84,156.8,19.2,0.0
32,13319.0144619,2280.89906,3430.0,748.413,21571.9503223,17977.8271557,325198.056,1013.84,156.8,19.2,0.0
33,7240.75359338,2280.89906,3430.0,748.413,40163.9695376,14990.068809,325198.056,1013.84,156.8,19.2,0.0
34,1361.223375,2280.89906,3430.0,748.413,54112.0437503,14818.8492923,315555.731522,1013.84,156.8,19.2,0.0
35,1361.223375,2280.89906,3430.0,748.413,63970.0880019,11971.9534769,302869.903086,906.12,7.2,19.2,0.0
36,1361.223375,2280.89906,3430.0,748.413,66444.725584,8069.09517527,297511.123806,906.12,7.2,19.2,0.0
37,1361.223375,2280.89906,3430.0,748.413,65628.6968083,5705.79292477,295867.454832,906.12,7.2,19.2,0.0
38,1361.223375,2280.89906,3430.0,748.413,62374.9622764,4501.5329105,298645.449378,906.12,7.2,19.2,0.0
39,1361.223375,2280.89906,3430.0,748.413,51131.8269608,5199.49277102,311730.744833,951.4,156.8,19.2,0.0
40,12702.5404197,2280.89906,3430.0,748.413,31818.1824487,6843.0690716,325198.056,1013.84,156.8,19.2,0.0
41,23673.45,2280.89906,3430.0,748.413,4756.02648212,9124.62256188,344606.376,1013.84,655.032,139.340896004,0.0
42,23673.45,2280.89906,3430.0,748.413,0.0,14808.2083975,344606.376,1013.84,525.613542543,19.2,0.0
43,23673.45,2280.89906,3430.0,748.413,0.0,22762.1046287,334400.293311,1013.84,156.8,19.2,0.0
44,19470.040056,2280.89906,3430.0,748.413,0.0,28899.9272434,325236.880641,1013.84,156.8,19.2,0.0
45,5622.60194925,2280.89906,3430.0,748.413,0.0,30036.1899907,325198.056,1013.84,156.8,19.2,0.0
46,1361.223375,2280.89906,3430.0,748.413,0.0,28631.2049741,317940.419591,1013.84,156.8,19.2,0.0
47,1361.223375,2280.89906,3430.0,748.413,0.0,27042.4365469,309848.908018,906.12,156.8,19.2,0.0
48,1427.509035,2295.33513,3430.0,748.413,0.0,25148.580468,302379.426367,1740.336,7.2,19.2,0.0
49,1427.509035,2295.33513,3430.0,748.413,0.0,23714.8677654,297405.53907,1593.936,7.2,19.2,0.0
50,1427.509035,2295.33513,3430.0,748.413,0.0,22641.4087875,296741.998048,1593.936,7.2,19.2,0.0
51,1427.509035,2295.33513,3430.0,748.413,0.0,21629.7594795,300745.647355,1593.936,7.2,19.2,0.0
52,1427.509035,2295.33513,3430.0,748.413,0.0,20212.290269,310635.716566,1740.336,7.2,19.2,0.0
53,1427.509035,2295.33513,3430.0,748.413,0.0,19257.2707335,325649.416102,1848.056,156.8,19.2,0.0
54,1427.509035,2295.33513,3430.0,748.413,0.0,18575.9973648,343340.68947,1848.056,156.8,19.2,0.0
55,13379.6531965,2295.33513,3430.0,748.413,3624.92371272,17556.4429608,347207.176,1848.056,156.8,19.2,0.0
56,14222.3111537,2295.33513,3430.0,748.413,21673.4317856,14534.2769307,347207.176,1848.056,156.8,19.2,0.0
57,6836.78925591,2295.33513,3430.0,748.413,40437.5370857,11043.6935284,347207.176,1848.056,156.8,19.2,0.0
58,1427.509035,2295.33513,3430.0,748.413,56174.5384786,10562.9488623,335276.199494,1848.056,156.8,19.2,0.0
59,1427.509035,2295.33513,3430.0,748.413,66049.223894,8868.04808668,321382.854854,1785.616,156.8,19.2,0.0
60,1427.509035,2295.33513,3430.0,748.413,69614.249054,6441.9561667,313301.801614,1740.336,7.2,19.2,0.0
61,1427.509035,2295.33513,3430.0,748.413,69643.7622073,4720.14750417,308674.097124,1740.336,7.2,19.2,0.0
62,1427.509035,2295.33513,3430.0,748.413,63141.2596034,3871.29091705,311315.456315,1740.336,7.2,19.2,0.0
63,1427.509035,2295.33513,3430.0,748.413,50076.8902306,3809.22104724,324260.575557,1848.056,156.8,19.2,0.0
64,2187.37036533,2295.33513,3430.0,748.413,31019.4879989,4100.16150573,347207.176,1848.056,156.8,19.2,0.0
65,23673.45,2295.33513,3430.0,748.413,4559.27494209,4611.81035686,356437.660571,1848.056,156.8,19.2,0.0
