,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other
0,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,322706.67832,1013.84,156.8,19.2,0.0
1,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,314776.67832,1013.84,156.8,19.2,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,315418.67832,1013.84,156.8,19.2,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,318028.67832,1013.84,156.8,19.2,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,325411.67832,1013.84,156.8,19.2,0.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,337181.67832,1013.84,156.8,19.2,0.0
6,15331.83587,2295.33513,3430.0,748.413,0.0,0.0,337905.576,1013.84,156.8,19.2,0.0
7,23673.45,2295.33513,3430.0,748.413,6480.28500311,0.0,338997.676867,1013.84,156.8,19.2,0.0
8,3082.58754541,2295.33513,3430.0,748.413,42048.6519562,0.0,338103.172368,1013.84,156.8,19.2,0.0
9,1396.73355,2295.33513,3430.0,748.413,78283.6108409,0.0,313093.067479,1013.84,156.8,19.2,0.0
10,1396.73355,2295.33513,3430.0,748.413,107681.118579,0.0,283286.279741,619.72,7.2,19.2,0.0
11,1396.73355,2295.33513,3430.0,748.413,125429.035131,0.0,259660.363189,619.72,7.2,19.2,0.0
12,1396.73355,2295.33513,3430.0,748.413,132576.011067,0.0,244535.387253,619.72,7.2,19.2,0.0
13,1396.73355,2295.33513,3430.0,748.413,128066.866686,0.0,241040.531634,619.72,7.2,19.2,0.0
14,1396.73355,2295.33513,3430.0,748.413,117725.138056,0.0,244194.260264,619.72,7.2,19.2,0.0
15,1396.73355,2295.33513,3430.0,748.413,95467.4827115,0.0,264205.915609,619.72,7.2,19.2,0.0
16,1396.73355,2295.33513,3430.0,748.413,56956.990317,0.0,304582.008003,906.12,7.2,19.2,0.0
17,20911.0834698,2295.33513,3430.0,748.413,7220.15240016,0.0,338143.176,1013.84,156.8,19.2,0.0
18,23673.45,2295.33513,3430.0,748.413,0.0,0.0,343550.376,1013.84,342.38587,19.2,0.0
19,23673.45,2295.33513,3430.0,748.413,0.0,0.0,341778.96187,1013.84,156.8,19.2,0.0
20,20742.23587,2295.33513,3430.0,748.413,0.0,0.0,338143.176,1013.84,156.8,19.2,0.0
21,9404.83587,2295.33513,3430.0,748.413,0.0,0.0,337905.576,1013.84,156.8,19.2,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,333028.67832,1013.84,156.8,19.2,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,322549.67832,1013.84,156.8,19.2,0.0
24,1361.223375,2280.89906,3430.0,748.413,0.0,0.0,313807.312565,2119.752,7.2,19.2,0.0
