,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other
0,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,321556.56632,2163.952,156.8,19.2,0.0
1,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,313776.16632,2163.952,7.2,19.2,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,314418.16632,2163.952,7.2,19.2,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,317028.16632,2163.952,7.2,19.2,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,324216.28632,2209.232,156.8,19.2,0.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,335923.84632,2271.672,156.8,19.2,0.0
6,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,350582.84632,2271.672,156.8,19.2,0.0
7,8068.48186525,2295.33513,3430.0,748.413,0.0,0.0,359825.098005,2271.672,156.8,19.2,0.0
8,22080.60387,2295.33513,3430.0,748.413,0.0,0.0,359895.976,2271.672,156.8,19.2,0.0
9,23673.45,2295.33513,3430.0,748.413,0.0,0.0,366462.376,3529.504,278.72187,19.2,0.0
10,23673.45,2295.33513,3430.0,748.413,0.0,0.0,366462.376,2698.42587,156.8,19.2,0.0
11,23673.45,2295.33513,3430.0,748.413,0.0,0.0,361011.12987,2271.672,156.8,19.2,0.0
12,16810.60387,2295.33513,3430.0,748.413,0.0,0.0,359895.976,2271.672,156.8,19.2,0.0
13,8806.60387,2295.33513,3430.0,748.413,0.0,0.0,359895.976,2271.672,156.8,19.2,0.0
14,1856.20387,2295.33513,3430.0,748.413,0.0,0.0,359658.376,2271.672,156.8,19.2,0.0
15,1396.73355,2295.33513,3430.0,748.413,0.0,0.0,357871.84632,2271.672,156.8,19.2,0.0
16,1524.60387,2295.33513,3430.0,748.413,0.0,0.0,359895.976,2271.672,156.8,19.2,0.0
17,5120.60387,2295.33513,3430.0,748.413,0.0,0.0,359895.976,2271.672,156.8,19.2,0.0
18,6493.20387,2295.33513,3430.0,748.413,0.0,0.0,359658.376,2271.672,156.8,19.2,0.0
