ann_gen_coal_MWh,ann_gen_diesel_MWh,ann_gen_gas_ccgt_MWh,ann_gen_gas_ct_MWh,ann_gen_hydro_MWh,ann_gen_nuclear_MWh,ann_gen_other_MWh,ann_gen_solarPV_MWh,ann_gen_total_MWh,ann_gen_vre_MWh,ann_gen_vre_nocurt_MWh,ann_gen_wind_MWh,capacity_solarPV_MW,capacity_vre_MW,capacity_wind_MW,date_time,dispatch_cost,new_capacity_coal_MW,new_capacity_gas_ccgt_MW,new_capacity_gas_ct_MW,scenario,scenario_build,scenario_split,rank,scenario_dispatch
2226413656,174353.82,37248037.17,1882447.6,128787887.3,30046800,0,0,2424553182,0,0,0,0,0,0,7/28/2017 1:48,4.54E+12,151140,0,11000,S0W0,0 GW,0-0,1,coalLC_55min
1764658628,199994.78,22493006.19,1200040.91,128787887.3,30046800,0,0,2424553182,477166824.6,477166824.6,477166824.6,0,200005,200005,7/28/2017 3:00,3.49E+12,128040,0,25000,S0W200,200 GW,0-100,2,coalLC_55min
1784036033,333161.26,25231754.9,1295777.6,128787887.3,30046800,0,87844246.67,2424553182,454821767.9,454821768,366977521.2,50015,200025,150010,7/28/2017 4:11,3.54E+12,118800,0,25000,S50W150,200 GW,25-75,3,coalLC_55min
1807870275,440479.23,28731528.44,1458370.75,128787887.3,30046800,0,175038224,2424553182,427217841.4,427217841.3,252179617.3,100079,200102,100023,7/28/2017 5:25,3.62E+12,118800,0,28000,S100W100,200 GW,50-50,4,coalLC_55min
1838410142,518395.19,32194100.08,1700844.05,128787887.3,30046800,0,261615010.6,2424553182,392895012.9,392945560.5,131280002.5,150010,200039,50029,7/28/2017 6:42,3.71E+12,126060,0,25000,S150W50,200 GW,75-25,5,coalLC_55min
1893667810,653772.28,31800818.63,1902932.89,128787887.3,30046800,0,337693160.6,2424553182,337693160.6,348007549.4,0,200004,200004,0,7/28/2017 8:03,3.84E+12,144540,0,10600,S200W0,200 GW,100-0,6,coalLC_55min
1557779096,259774.91,21401554.4,1199172.69,128787887.3,30046800,1139.25,0,2424553182,685077757.1,687477606.9,685077757.1,0,300007,300007,7/28/2017 9:20,3.07E+12,119460,0,31200,S0W300,300 GW,0-100,7,coalLC_55min
1581113150,492620.39,22180297.14,1246581.27,128787887.3,30046800,0,130783034.6,2424553182,660685846,662279334.2,529902811.5,75025,300060,225035,7/28/2017 10:35,3.12E+12,109560,0,31400,S75W225,300 GW,25-75,8,coalLC_55min
1614591699,609363.27,25577845.61,1593562.27,128787887.3,30046800,0,257101229.6,2424553182,623346024.1,628643079.4,366244794.6,150010,300020,150010,7/28/2017 11:56,3.22E+12,112200,0,31600,S150W150,300 GW,50-50,9,coalLC_55min
1690939900,775880.49,29860499.71,2297690.08,128787887.3,30046800,0,356465914.2,2424553182,541844524.1,583353679.4,185378609.9,225017,300020,75003,7/28/2017 13:21,3.43E+12,122100,0,27000,S225W75,300 GW,75-25,10,coalLC_55min
1828770847,911518.97,31759234.2,2408784.99,128787887.3,30046800,0,401868109.5,2424553182,401868109.5,519352656.1,0,300014,300014,0,7/28/2017 14:50,3.73E+12,144540,0,11000,S300W0,300 GW,100-0,11,coalLC_55min
1394584937,341661.46,20144954.08,1296779.48,128787887.3,30046800,1139.25,0,2424553182,849349023.4,888594834.6,849349023.4,0,400031,400031,7/28/2017 16:05,2.76E+12,113520,0,35400,S0W400,400 GW,0-100,12,coalLC_55min
