,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other
0,1396.73355,2295.33513,3430.0,748.413,0.0,68268.2448635,254982.153457,619.72,7.2,19.2,0.0
1,1396.73355,2295.33513,3430.0,748.413,0.0,65987.3464424,249333.051878,619.72,7.2,19.2,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,63339.4334462,252622.964874,619.72,7.2,19.2,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,58987.8894604,259584.50886,619.72,7.2,19.2,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,54828.5738801,271126.82444,619.72,7.2,19.2,0.0
5,1396.73355,2295.33513,3430.0,748.413,0.0,52798.2377229,284640.760597,906.12,7.2,19.2,0.0
6,1396.73355,2295.33513,3430.0,748.413,0.0,52388.4534786,299514.664841,951.4,156.8,19.2,0.0
7,2645.92557785,2295.33513,3430.0,748.413,0.0,52172.9902921,314332.496,1013.84,156.8,19.2,0.0
8,20532.0433813,2295.33513,3430.0,748.413,0.0,48410.7364382,314291.632051,1013.84,156.8,19.2,0.0
9,23673.45,2295.33513,3430.0,748.413,0.0,45934.1125241,322606.376,1013.84,655.032,80.4413458948,0.0
10,23673.45,2295.33513,3430.0,748.413,0.0,48961.2466006,319185.715269,1013.84,156.8,19.2,0.0
11,21664.5541273,2295.33513,3430.0,748.413,0.0,50182.9617427,314094.896,1013.84,156.8,19.2,0.0
12,15391.5920921,2295.33513,3430.0,748.413,0.0,48240.3237779,314332.496,1013.84,156.8,19.2,0.0
13,13644.6977158,2295.33513,3430.0,748.413,0.0,41983.2181542,314332.496,1013.84,156.8,19.2,0.0
14,9313.75274037,2295.33513,3430.0,748.413,0.0,39126.1631296,314332.496,1013.84,156.8,19.2,0.0
15,4924.06454951,2295.33513,3430.0,748.413,0.0,41269.8513205,314332.496,1013.84,156.8,19.2,0.0
16,2864.6388665,2295.33513,3430.0,748.413,0.0,45481.2770035,314332.496,1013.84,156.8,19.2,0.0
17,6354.9602246,2295.33513,3430.0,748.413,0.0,45586.9556454,314332.496,1013.84,156.8,19.2,0.0
18,1396.73355,2295.33513,3430.0,748.413,0.0,52537.9774166,313474.700903,1013.84,156.8,19.2,0.0
19,1396.73355,2295.33513,3430.0,748.413,0.0,65035.2926417,299082.825678,951.4,156.8,19.2,0.0
20,1396.73355,2295.33513,3430.0,748.413,0.0,72539.255436,285206.742884,906.12,7.2,19.2,0.0
21,1396.73355,2295.33513,3430.0,748.413,0.0,73260.8550756,273056.543244,759.72,7.2,19.2,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,70354.1220091,263218.276311,619.72,7.2,19.2,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,64772.6108748,258320.787445,619.72,7.2,19.2,0.0
24,1361.223375,2280.89906,3430.0,748.413,0.0,58906.2388192,256401.105746,619.72,7.2,19.2,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,54514.3796254,254747.96494,619.72,7.2,19.2,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,50855.2617498,256200.082815,619.72,7.2,19.2,0.0
