Timepoint,load,dateTime,Day
1,199468.65,1/1/1930 0:55,1
2,195607.95,1/1/1930 1:55,1
3,196000.65,1/1/1930 2:55,1
4,197614.8,1/1/1930 3:55,1
5,201932.8,1/1/1930 4:55,1
6,208344.35,1/1/1930 5:55,1
7,216227.25,1/1/1930 6:55,1
8,224562.35,1/1/1930 7:55,1
9,231270.55,1/1/1930 8:55,1
10,235517.15,1/1/1930 9:55,1
11,234910.25,1/1/1930 10:55,1
12,231891.05,1/1/1930 11:55,1
13,227742.2,1/1/1930 12:55,1
14,223408.05,1/1/1930 13:55,1
15,219623,1/1/1930 14:55,1
16,218531.6,1/1/1930 15:55,1
17,220023.35,1/1/1930 16:55,1
18,222171.3,1/1/1930 17:55,1
19,222918.45,1/1/1930 18:55,1
20,221827.9,1/1/1930 19:55,1
21,218043.7,1/1/1930 20:55,1
22,211429.85,1/1/1930 21:55,1
23,204329.8,1/1/1930 22:55,1
24,198764.85,1/1/1930 23:55,1
25,194701.85,1/2/1930 0:55,2
26,191673.3,1/2/1930 1:55,2
27,190691.55,1/2/1930 2:55,2
28,192652.5,1/2/1930 3:55,2
29,197599.5,1/2/1930 4:55,2
30,204793.9,1/2/1930 5:55,2
31,213265.85,1/2/1930 6:55,2
32,222033.6,1/2/1930 7:55,2
33,229709.1,1/2/1930 8:55,2
34,234084.9,1/2/1930 9:55,2
35,233229.8,1/2/1930 10:55,2
36,230106.9,1/2/1930 11:55,2
37,226450.2,1/2/1930 12:55,2
38,223716.6,1/2/1930 13:55,2
39,222484.1,1/2/1930 14:55,2
40,223741.25,1/2/1930 15:55,2
41,227745.6,1/2/1930 16:55,2
42,231517.9,1/2/1930 17:55,2
43,232499.65,1/2/1930 18:55,2
44,231551.9,1/2/1930 19:55,2
45,227562.85,1/2/1930 20:55,2
46,220224.8,1/2/1930 21:55,2
47,212841.7,1/2/1930 22:55,2
48,207388.95,1/2/1930 23:55,2
49,202748.8,1/3/1930 0:55,3
50,199395.55,1/3/1930 1:55,3
51,198692.6,1/3/1930 2:55,3
52,200654.4,1/3/1930 3:55,3
53,205677.9,1/3/1930 4:55,3
54,213389.95,1/3/1930 5:55,3
55,222484.95,1/3/1930 6:55,3
56,231918.25,1/3/1930 7:55,3
57,239315.8,1/3/1930 8:55,3
58,242887.5,1/3/1930 9:55,3
59,241751.05,1/3/1930 10:55,3
60,238555.05,1/3/1930 11:55,3
61,234699.45,1/3/1930 12:55,3
62,231368.3,1/3/1930 13:55,3
63,229022.3,1/3/1930 14:55,3
64,229411.6,1/3/1930 15:55,3
65,232687.5,1/3/1930 16:55,3
66,235980.4,1/3/1930 17:55,3
67,237737.35,1/3/1930 18:55,3
68,237121.1,1/3/1930 19:55,3
69,233182.2,1/3/1930 20:55,3
70,225906.2,1/3/1930 21:55,3
71,217348.4,1/3/1930 22:55,3
72,210278.1,1/3/1930 23:55,3
73,204881.45,1/4/1930 0:55,4
74,200800.6,1/4/1930 1:55,4
75,198932.3,1/4/1930 2:55,4
76,200377.3,1/4/1930 3:55,4
77,203917.55,1/4/1930 4:55,4
78,209410.25,1/4/1930 5:55,4
79,215719.8,1/4/1930 6:55,4
80,222052.3,1/4/1930 7:55,4
81,226527.55,1/4/1930 8:55,4
82,229100.5,1/4/1930 9:55,4
83,228963.65,1/4/1930 10:55,4
84,226385.6,1/4/1930 11:55,4
85,222660.05,1/4/1930 12:55,4
86,219505.7,1/4/1930 13:55,4
87,217041.55,1/4/1930 14:55,4
88,216979.5,1/4/1930 15:55,4
89,219476.8,1/4/1930 16:55,4
90,222655.8,1/4/1930 17:55,4
91,224388.1,1/4/1930 18:55,4
92,224677.1,1/4/1930 19:55,4
93,222000.45,1/4/1930 20:55,4
94,215778.45,1/4/1930 21:55,4
95,210010.35,1/4/1930 22:55,4
96,205657.5,1/4/1930 23:55,4
97,202031.4,1/5/1930 0:55,5
98,199229.8,1/5/1930 1:55,5
99,198931.45,1/5/1930 2:55,5
100,200376.45,1/5/1930 3:55,5
101,203916.7,1/5/1930 4:55,5
102,209408.55,1/5/1930 5:55,5
103,215718.1,1/5/1930 6:55,5
104,222049.75,1/5/1930 7:55,5
105,226524.15,1/5/1930 8:55,5
106,229095.4,1/5/1930 9:55,5
107,228959.4,1/5/1930 10:55,5
108,226381.35,1/5/1930 11:55,5
109,222655.8,1/5/1930 12:55,5
110,219501.45,1/5/1930 13:55,5
111,217039,1/5/1930 14:55,5
112,216977.8,1/5/1930 15:55,5
113,219475.1,1/5/1930 16:55,5
114,222654.1,1/5/1930 17:55,5
115,224385.55,1/5/1930 18:55,5
116,224674.55,1/5/1930 19:55,5
117,221997.05,1/5/1930 20:55,5
118,215776.75,1/5/1930 21:55,5
119,208778.7,1/5/1930 22:55,5
120,203357.4,1/5/1930 23:55,5
121,198668.8,1/6/1930 0:55,6
122,194666.15,1/6/1930 1:55,6
123,193154,1/6/1930 2:55,6
124,194942.4,1/6/1930 3:55,6
125,199213.65,1/6/1930 4:55,6
126,205931.2,1/6/1930 5:55,6
127,213496.2,1/6/1930 6:55,6
128,221663.85,1/6/1930 7:55,6
129,228235.2,1/6/1930 8:55,6
130,232276.1,1/6/1930 9:55,6
131,232480.1,1/6/1930 10:55,6
132,230801.35,1/6/1930 11:55,6
133,228230.95,1/6/1930 12:55,6
134,225737.05,1/6/1930 13:55,6
135,224285.25,1/6/1930 14:55,6
136,225070.65,1/6/1930 15:55,6
137,228927.1,1/6/1930 16:55,6
138,233364.1,1/6/1930 17:55,6
139,236229.45,1/6/1930 18:55,6
140,236326.35,1/6/1930 19:55,6
141,233038.55,1/6/1930 20:55,6
142,225245.75,1/6/1930 21:55,6
143,216659.9,1/6/1930 22:55,6
144,209774.05,1/6/1930 23:55,6
145,204736.1,1/7/1930 0:55,7
146,200931.5,1/7/1930 1:55,7
147,199659.05,1/7/1930 2:55,7
148,201412.6,1/7/1930 3:55,7
149,205938,1/7/1930 4:55,7
150,213199.55,1/7/1930 5:55,7
151,221659.6,1/7/1930 6:55,7
152,230046.55,1/7/1930 7:55,7
153,236281.3,1/7/1930 8:55,7
154,239269.9,1/7/1930 9:55,7
155,237902.25,1/7/1930 10:55,7
156,234962.1,1/7/1930 11:55,7
157,232015.15,1/7/1930 12:55,7
158,229140.45,1/7/1930 13:55,7
159,228151.9,1/7/1930 14:55,7
160,228629.6,1/7/1930 15:55,7
161,231996.45,1/7/1930 16:55,7
162,235807.85,1/7/1930 17:55,7
163,238310.25,1/7/1930 18:55,7
164,237649.8,1/7/1930 19:55,7
165,234601.7,1/7/1930 20:55,7
166,227667.4,1/7/1930 21:55,7
167,220178.05,1/7/1930 22:55,7
168,214676,1/7/1930 23:55,7
169,210359.7,1/8/1930 0:55,8
170,206459.9,1/8/1930 1:55,8
171,205458.6,1/8/1930 2:55,8
172,207581.9,1/8/1930 3:55,8
173,212364.85,1/8/1930 4:55,8
174,220090.5,1/8/1930 5:55,8
175,229462.6,1/8/1930 6:55,8
176,238492.15,1/8/1930 7:55,8
177,244981.05,1/8/1930 8:55,8
178,247553.15,1/8/1930 9:55,8
179,245610.9,1/8/1930 10:55,8
180,241955.05,1/8/1930 11:55,8
181,237994.9,1/8/1930 12:55,8
182,234363.7,1/8/1930 13:55,8
183,232024.5,1/8/1930 14:55,8
184,231799.25,1/8/1930 15:55,8
185,235043.7,1/8/1930 16:55,8
186,238762.45,1/8/1930 17:55,8
187,240663.9,1/8/1930 18:55,8
188,240919.75,1/8/1930 19:55,8
189,238334.05,1/8/1930 20:55,8
190,231369.15,1/8/1930 21:55,8
191,223472.65,1/8/1930 22:55,8
192,217094.25,1/8/1930 23:55,8
193,210878.2,1/9/1930 0:55,9
194,206016.2,1/9/1930 1:55,9
195,204194.65,1/9/1930 2:55,9
196,205769.7,1/9/1930 3:55,9
197,210026.5,1/9/1930 4:55,9
198,217134.2,1/9/1930 5:55,9
199,225743.85,1/9/1930 6:55,9
200,234345.85,1/9/1930 7:55,9
201,240299.25,1/9/1930 8:55,9
202,242343.5,1/9/1930 9:55,9
203,240708.1,1/9/1930 10:55,9
204,237252,1/9/1930 11:55,9
205,233779.75,1/9/1930 12:55,9
206,231370.85,1/9/1930 13:55,9
207,230591.4,1/9/1930 14:55,9
208,231262.9,1/9/1930 15:55,9
209,235454.25,1/9/1930 16:55,9
210,239442.45,1/9/1930 17:55,9
211,241095.7,1/9/1930 18:55,9
212,241313.3,1/9/1930 19:55,9
213,238941.8,1/9/1930 20:55,9
214,232533.65,1/9/1930 21:55,9
215,225224.5,1/9/1930 22:55,9
216,219598.35,1/9/1930 23:55,9
217,213367.85,1/10/1930 0:55,10
218,208093.6,1/10/1930 1:55,10
219,206067.2,1/10/1930 2:55,10
220,207683.9,1/10/1930 3:55,10
221,211964.5,1/10/1930 4:55,10
222,219528.65,1/10/1930 5:55,10
223,228090.7,1/10/1930 6:55,10
224,237035.25,1/10/1930 7:55,10
225,243664.4,1/10/1930 8:55,10
226,247191.9,1/10/1930 9:55,10
227,246420.95,1/10/1930 10:55,10
228,244159.1,1/10/1930 11:55,10
229,240974.15,1/10/1930 12:55,10
230,238337.45,1/10/1930 13:55,10
231,235394.75,1/10/1930 14:55,10
232,234787.85,1/10/1930 15:55,10
233,237382.05,1/10/1930 16:55,10
234,240235.5,1/10/1930 17:55,10
235,240778.65,1/10/1930 18:55,10
236,241481.6,1/10/1930 19:55,10
237,238811.75,1/10/1930 20:55,10
238,231902.95,1/10/1930 21:55,10
239,223921.45,1/10/1930 22:55,10
240,217944.25,1/10/1930 23:55,10
241,211762.2,1/11/1930 0:55,11
242,206893.4,1/11/1930 1:55,11
243,205037,1/11/1930 2:55,11
244,206306.9,1/11/1930 3:55,11
245,209360.95,1/11/1930 4:55,11
246,215104.4,1/11/1930 5:55,11
247,222518.95,1/11/1930 6:55,11
248,230517.45,1/11/1930 7:55,11
249,236788.75,1/11/1930 8:55,11
250,240092.7,1/11/1930 9:55,11
251,238878.9,1/11/1930 10:55,11
252,235645.5,1/11/1930 11:55,11
253,231848.55,1/11/1930 12:55,11
254,228902.45,1/11/1930 13:55,11
255,227353.75,1/11/1930 14:55,11
256,228206.3,1/11/1930 15:55,11
257,231538.3,1/11/1930 16:55,11
258,235165.25,1/11/1930 17:55,11
259,237195.05,1/11/1930 18:55,11
260,237977.9,1/11/1930 19:55,11
261,235779.8,1/11/1930 20:55,11
262,229214.4,1/11/1930 21:55,11
263,221723.35,1/11/1930 22:55,11
264,216075.1,1/11/1930 23:55,11
265,210732,1/12/1930 0:55,12
266,206035.75,1/12/1930 1:55,12
267,203993.2,1/12/1930 2:55,12
268,205051.45,1/12/1930 3:55,12
269,208055.35,1/12/1930 4:55,12
270,212817.9,1/12/1930 5:55,12
271,219092.6,1/12/1930 6:55,12
272,226404.3,1/12/1930 7:55,12
273,232274.4,1/12/1930 8:55,12
274,235897.95,1/12/1930 9:55,12
275,236205.65,1/12/1930 10:55,12
276,233566.4,1/12/1930 11:55,12
277,229579.9,1/12/1930 12:55,12
278,225641,1/12/1930 13:55,12
279,222603.95,1/12/1930 14:55,12
280,221842.35,1/12/1930 15:55,12
281,223905.3,1/12/1930 16:55,12
282,226274.25,1/12/1930 17:55,12
283,227849.3,1/12/1930 18:55,12
284,228663.6,1/12/1930 19:55,12
285,227539.05,1/12/1930 20:55,12
286,223029.8,1/12/1930 21:55,12
287,218173.75,1/12/1930 22:55,12
288,214652.2,1/12/1930 23:55,12
289,210935.15,1/13/1930 0:55,13
290,206623.95,1/13/1930 1:55,13
291,205278.4,1/13/1930 2:55,13
292,207269.1,1/13/1930 3:55,13
293,210831.45,1/13/1930 4:55,13
294,216611.45,1/13/1930 5:55,13
295,224083.8,1/13/1930 6:55,13
296,231953.1,1/13/1930 7:55,13
297,238034,1/13/1930 8:55,13
298,241864.1,1/13/1930 9:55,13
299,242204.95,1/13/1930 10:55,13
300,240620.55,1/13/1930 11:55,13
301,237763.7,1/13/1930 12:55,13
302,234844.8,1/13/1930 13:55,13
303,231974.35,1/13/1930 14:55,13
304,230545.5,1/13/1930 15:55,13
305,231453.3,1/13/1930 16:55,13
306,232838.8,1/13/1930 17:55,13
307,233325,1/13/1930 18:55,13
308,233909.8,1/13/1930 19:55,13
309,232542.15,1/13/1930 20:55,13
310,228350.8,1/13/1930 21:55,13
311,223055.3,1/13/1930 22:55,13
312,219047.55,1/13/1930 23:55,13
313,214189.8,1/14/1930 0:55,14
314,210080.05,1/14/1930 1:55,14
315,208767.65,1/14/1930 2:55,14
316,211065.2,1/14/1930 3:55,14
317,213990.05,1/14/1930 4:55,14
318,218394.75,1/14/1930 5:55,14
319,224326.9,1/14/1930 6:55,14
320,229543.35,1/14/1930 7:55,14
321,232992.65,1/14/1930 8:55,14
322,235623.4,1/14/1930 9:55,14
323,235135.5,1/14/1930 10:55,14
324,232372.15,1/14/1930 11:55,14
325,228771.55,1/14/1930 12:55,14
326,225547.5,1/14/1930 13:55,14
327,222484.95,1/14/1930 14:55,14
328,220409.25,1/14/1930 15:55,14
329,221329.8,1/14/1930 16:55,14
330,223645.2,1/14/1930 17:55,14
331,225456.55,1/14/1930 18:55,14
332,226610.85,1/14/1930 19:55,14
333,225367.3,1/14/1930 20:55,14
334,220424.55,1/14/1930 21:55,14
335,214267.15,1/14/1930 22:55,14
336,209371.15,1/14/1930 23:55,14
337,204753.1,1/15/1930 0:55,15
338,201215.4,1/15/1930 1:55,15
339,200304.2,1/15/1930 2:55,15
340,202297.45,1/15/1930 3:55,15
341,206408.05,1/15/1930 4:55,15
342,212706.55,1/15/1930 5:55,15
343,220606.45,1/15/1930 6:55,15
344,228404.35,1/15/1930 7:55,15
345,234112.95,1/15/1930 8:55,15
346,237690.6,1/15/1930 9:55,15
347,237737.35,1/15/1930 10:55,15
348,235233.25,1/15/1930 11:55,15
349,231793.3,1/15/1930 12:55,15
350,228891.4,1/15/1930 13:55,15
351,226249.6,1/15/1930 14:55,15
352,225044.3,1/15/1930 15:55,15
353,226627,1/15/1930 16:55,15
354,228920.3,1/15/1930 17:55,15
355,230185.1,1/15/1930 18:55,15
356,230796.25,1/15/1930 19:55,15
357,229007.85,1/15/1930 20:55,15
358,224079.55,1/15/1930 21:55,15
359,217940.85,1/15/1930 22:55,15
360,213072.9,1/15/1930 23:55,15
361,208385.15,1/16/1930 0:55,16
362,204538.9,1/16/1930 1:55,16
363,202877.15,1/16/1930 2:55,16
364,203862.3,1/16/1930 3:55,16
365,207530.05,1/16/1930 4:55,16
366,214157.5,1/16/1930 5:55,16
367,222091.4,1/16/1930 6:55,16
368,230284.55,1/16/1930 7:55,16
369,237778.15,1/16/1930 8:55,16
370,242711.55,1/16/1930 9:55,16
371,241417.85,1/16/1930 10:55,16
372,237724.6,1/16/1930 11:55,16
373,233266.35,1/16/1930 12:55,16
374,229549.3,1/16/1930 13:55,16
375,226525,1/16/1930 14:55,16
376,226385.6,1/16/1930 15:55,16
377,228854.85,1/16/1930 16:55,16
378,232134.15,1/16/1930 17:55,16
379,234259.15,1/16/1930 18:55,16
380,235076.85,1/16/1930 19:55,16
381,233233.2,1/16/1930 20:55,16
382,228180.8,1/16/1930 21:55,16
383,222067.6,1/16/1930 22:55,16
384,216513.7,1/16/1930 23:55,16
385,211825.1,1/17/1930 0:55,17
386,208233,1/17/1930 1:55,17
387,206599.3,1/17/1930 2:55,17
388,207812.25,1/17/1930 3:55,17
389,211627.9,1/17/1930 4:55,17
390,217534.55,1/17/1930 5:55,17
391,224573.4,1/17/1930 6:55,17
392,232100.15,1/17/1930 7:55,17
393,238126.65,1/17/1930 8:55,17
394,241754.45,1/17/1930 9:55,17
395,241810.55,1/17/1930 10:55,17
396,239644.75,1/17/1930 11:55,17
397,236979.15,1/17/1930 12:55,17
398,234390.9,1/17/1930 13:55,17
399,231894.45,1/17/1930 14:55,17
400,231260.35,1/17/1930 15:55,17
401,233152.45,1/17/1930 16:55,17
402,235149.1,1/17/1930 17:55,17
403,235447.45,1/17/1930 18:55,17
404,234977.4,1/17/1930 19:55,17
405,232295.65,1/17/1930 20:55,17
406,227029.05,1/17/1930 21:55,17
407,220867.4,1/17/1930 22:55,17
408,216190.7,1/17/1930 23:55,17
409,210622.35,1/18/1930 0:55,18
410,204877.2,1/18/1930 1:55,18
411,200802.3,1/18/1930 2:55,18
412,200219.2,1/18/1930 3:55,18
413,202246.45,1/18/1930 4:55,18
414,207494.35,1/18/1930 5:55,18
415,214467.75,1/18/1930 6:55,18
416,221247.35,1/18/1930 7:55,18
417,227349.5,1/18/1930 8:55,18
418,231625.85,1/18/1930 9:55,18
419,232084.85,1/18/1930 10:55,18
420,230401.85,1/18/1930 11:55,18
421,228486.8,1/18/1930 12:55,18
422,226868.4,1/18/1930 13:55,18
423,225254.25,1/18/1930 14:55,18
424,224994.15,1/18/1930 15:55,18
425,228034.6,1/18/1930 16:55,18
426,231557,1/18/1930 17:55,18
427,233339.45,1/18/1930 18:55,18
428,233840.1,1/18/1930 19:55,18
429,232277.8,1/18/1930 20:55,18
430,227324,1/18/1930 21:55,18
431,220954.1,1/18/1930 22:55,18
432,216311.4,1/18/1930 23:55,18
433,211934.75,1/19/1930 0:55,19
434,207536.85,1/19/1930 1:55,19
435,204537.2,1/19/1930 2:55,19
436,205053.15,1/19/1930 3:55,19
437,207834.35,1/19/1930 4:55,19
438,212659.8,1/19/1930 5:55,19
439,218909,1/19/1930 6:55,19
440,225816.1,1/19/1930 7:55,19
441,231137.1,1/19/1930 8:55,19
442,234249.8,1/19/1930 9:55,19
443,234339.9,1/19/1930 10:55,19
444,232019.4,1/19/1930 11:55,19
445,228819.15,1/19/1930 12:55,19
446,225513.5,1/19/1930 13:55,19
447,222507.9,1/19/1930 14:55,19
448,221246.5,1/19/1930 15:55,19
449,222316.65,1/19/1930 16:55,19
450,224409.35,1/19/1930 17:55,19
451,226350.75,1/19/1930 18:55,19
452,227681.85,1/19/1930 19:55,19
453,226473.15,1/19/1930 20:55,19
454,222119.45,1/19/1930 21:55,19
455,216544.3,1/19/1930 22:55,19
456,212478.75,1/19/1930 23:55,19
457,208037.5,1/20/1930 0:55,20
458,203670.2,1/20/1930 1:55,20
459,201835.05,1/20/1930 2:55,20
460,203314.05,1/20/1930 3:55,20
461,207694.1,1/20/1930 4:55,20
462,214865.55,1/20/1930 5:55,20
463,222731.45,1/20/1930 6:55,20
464,230702.75,1/20/1930 7:55,20
465,237966.85,1/20/1930 8:55,20
466,241543.65,1/20/1930 9:55,20
467,240896.8,1/20/1930 10:55,20
468,238824.5,1/20/1930 11:55,20
469,236263.45,1/20/1930 12:55,20
470,233298.65,1/20/1930 13:55,20
471,231390.4,1/20/1930 14:55,20
472,231386.15,1/20/1930 15:55,20
473,233930.2,1/20/1930 16:55,20
474,236616.2,1/20/1930 17:55,20
475,237414.35,1/20/1930 18:55,20
476,236904.35,1/20/1930 19:55,20
477,234139.3,1/20/1930 20:55,20
478,228192.7,1/20/1930 21:55,20
479,221626.45,1/20/1930 22:55,20
480,217112.1,1/20/1930 23:55,20
481,212321.5,1/21/1930 0:55,21
482,207717.9,1/21/1930 1:55,21
483,205598.85,1/21/1930 2:55,21
484,206809.25,1/21/1930 3:55,21
485,209741.75,1/21/1930 4:55,21
486,214768.65,1/21/1930 5:55,21
487,220224.8,1/21/1930 6:55,21
488,225543.25,1/21/1930 7:55,21
489,228087.3,1/21/1930 8:55,21
490,228536.1,1/21/1930 9:55,21
491,226582.8,1/21/1930 10:55,21
492,223274.6,1/21/1930 11:55,21
493,220257.1,1/21/1930 12:55,21
494,219524.4,1/21/1930 13:55,21
495,218892,1/21/1930 14:55,21
496,219758.15,1/21/1930 15:55,21
497,223589.1,1/21/1930 16:55,21
498,227365.65,1/21/1930 17:55,21
499,228940.7,1/21/1930 18:55,21
500,230213.15,1/21/1930 19:55,21
501,228145.95,1/21/1930 20:55,21
502,222565.7,1/21/1930 21:55,21
503,216086.15,1/21/1930 22:55,21
504,211043.95,1/21/1930 23:55,21
505,205646.45,1/22/1930 0:55,22
506,201275.75,1/22/1930 1:55,22
507,199195.8,1/22/1930 2:55,22
508,200458.9,1/22/1930 3:55,22
509,203076.9,1/22/1930 4:55,22
510,209040.5,1/22/1930 5:55,22
511,215834.55,1/22/1930 6:55,22
512,222010.65,1/22/1930 7:55,22
513,226127.2,1/22/1930 8:55,22
514,228808.95,1/22/1930 9:55,22
515,227744.75,1/22/1930 10:55,22
516,224631.2,1/22/1930 11:55,22
517,221825.35,1/22/1930 12:55,22
518,219674,1/22/1930 13:55,22
519,218410.05,1/22/1930 14:55,22
520,218060.7,1/22/1930 15:55,22
521,221019.55,1/22/1930 16:55,22
522,225027.3,1/22/1930 17:55,22
523,227407.3,1/22/1930 18:55,22
524,228069.45,1/22/1930 19:55,22
525,226934.7,1/22/1930 20:55,22
526,222237.6,1/22/1930 21:55,22
527,215780.15,1/22/1930 22:55,22
528,210802.55,1/22/1930 23:55,22
529,205684.7,1/23/1930 0:55,23
530,201020.75,1/23/1930 1:55,23
531,198868.55,1/23/1930 2:55,23
532,200341.6,1/23/1930 3:55,23
533,203461.1,1/23/1930 4:55,23
534,208958.9,1/23/1930 5:55,23
535,214860.45,1/23/1930 6:55,23
536,221162.35,1/23/1930 7:55,23
537,225666.5,1/23/1930 8:55,23
538,227815.3,1/23/1930 9:55,23
539,226572.6,1/23/1930 10:55,23
540,225338.4,1/23/1930 11:55,23
541,222917.6,1/23/1930 12:55,23
542,220296.2,1/23/1930 13:55,23
543,218463.6,1/23/1930 14:55,23
544,218761.1,1/23/1930 15:55,23
545,222200.2,1/23/1930 16:55,23
546,226721.35,1/23/1930 17:55,23
547,230061,1/23/1930 18:55,23
548,231872.35,1/23/1930 19:55,23
549,230642.4,1/23/1930 20:55,23
550,224740.85,1/23/1930 21:55,23
551,217324.6,1/23/1930 22:55,23
552,211225,1/23/1930 23:55,23
553,205994.95,1/24/1930 0:55,24
554,201570.7,1/24/1930 1:55,24
555,200273.6,1/24/1930 2:55,24
556,202491.25,1/24/1930 3:55,24
557,206293.3,1/24/1930 4:55,24
558,212811.95,1/24/1930 5:55,24
559,220410.1,1/24/1930 6:55,24
560,227620.65,1/24/1930 7:55,24
561,232545.55,1/24/1930 8:55,24
562,235268.1,1/24/1930 9:55,24
563,233693.05,1/24/1930 10:55,24
564,230525.1,1/24/1930 11:55,24
565,227120.85,1/24/1930 12:55,24
566,224111.85,1/24/1930 13:55,24
567,221226.95,1/24/1930 14:55,24
568,221578,1/24/1930 15:55,24
569,224924.45,1/24/1930 16:55,24
570,229220.35,1/24/1930 17:55,24
571,232206.4,1/24/1930 18:55,24
572,234322.9,1/24/1930 19:55,24
573,233655.65,1/24/1930 20:55,24
574,228792.8,1/24/1930 21:55,24
575,221968.15,1/24/1930 22:55,24
576,216414.25,1/24/1930 23:55,24
577,210895.2,1/25/1930 0:55,25
578,205878.5,1/25/1930 1:55,25
579,203834.25,1/25/1930 2:55,25
580,205837.7,1/25/1930 3:55,25
581,209718.8,1/25/1930 4:55,25
582,216338.6,1/25/1930 5:55,25
583,223473.5,1/25/1930 6:55,25
584,230225.05,1/25/1930 7:55,25
585,234620.4,1/25/1930 8:55,25
586,236283,1/25/1930 9:55,25
587,233951.45,1/25/1930 10:55,25
588,230389.1,1/25/1930 11:55,25
589,226732.4,1/25/1930 12:55,25
590,223596.75,1/25/1930 13:55,25
591,221009.35,1/25/1930 14:55,25
592,220939.65,1/25/1930 15:55,25
593,224638.85,1/25/1930 16:55,25
594,229339.35,1/25/1930 17:55,25
595,232395.95,1/25/1930 18:55,25
596,234413,1/25/1930 19:55,25
597,233916.6,1/25/1930 20:55,25
598,229062.25,1/25/1930 21:55,25
599,221792.2,1/25/1930 22:55,25
600,215922.95,1/25/1930 23:55,25
601,210141.25,1/26/1930 0:55,26
602,205069.3,1/26/1930 1:55,26
603,202827.85,1/26/1930 2:55,26
604,204668.1,1/26/1930 3:55,26
605,208461.65,1/26/1930 4:55,26
606,213705.3,1/26/1930 5:55,26
607,219652.75,1/26/1930 6:55,26
608,224339.65,1/26/1930 7:55,26
609,225956.35,1/26/1930 8:55,26
610,225471,1/26/1930 9:55,26
611,222767.15,1/26/1930 10:55,26
612,218257.9,1/26/1930 11:55,26
613,213333.85,1/26/1930 12:55,26
614,209284.45,1/26/1930 13:55,26
615,205749.3,1/26/1930 14:55,26
616,204439.45,1/26/1930 15:55,26
617,207091.45,1/26/1930 16:55,26
618,211601.55,1/26/1930 17:55,26
619,215489.45,1/26/1930 18:55,26
620,217986.75,1/26/1930 19:55,26
621,217668.85,1/26/1930 20:55,26
622,213146,1/26/1930 21:55,26
623,206753.15,1/26/1930 22:55,26
624,201557.1,1/26/1930 23:55,26
625,196997.7,1/27/1930 0:55,27
626,193193.95,1/27/1930 1:55,27
627,191716.65,1/27/1930 2:55,27
628,193608.75,1/27/1930 3:55,27
629,198329.65,1/27/1930 4:55,27
630,206303.5,1/27/1930 5:55,27
631,215017.7,1/27/1930 6:55,27
632,223338.35,1/27/1930 7:55,27
633,229281.55,1/27/1930 8:55,27
634,232107.8,1/27/1930 9:55,27
635,230497.05,1/27/1930 10:55,27
636,227451.5,1/27/1930 11:55,27
637,224047.25,1/27/1930 12:55,27
638,221578,1/27/1930 13:55,27
639,219997.85,1/27/1930 14:55,27
640,220966,1/27/1930 15:55,27
641,224682.2,1/27/1930 16:55,27
642,228851.45,1/27/1930 17:55,27
643,231566.35,1/27/1930 18:55,27
644,232974.8,1/27/1930 19:55,27
645,230870.2,1/27/1930 20:55,27
646,225381.75,1/27/1930 21:55,27
647,218413.45,1/27/1930 22:55,27
648,212625.8,1/27/1930 23:55,27
649,207473.95,1/28/1930 0:55,28
650,203702.5,1/28/1930 1:55,28
651,202207.35,1/28/1930 2:55,28
652,204518.5,1/28/1930 3:55,28
653,208984.4,1/28/1930 4:55,28
654,215602.5,1/28/1930 5:55,28
655,222697.45,1/28/1930 6:55,28
656,229685.3,1/28/1930 7:55,28
657,234841.4,1/28/1930 8:55,28
658,236804.05,1/28/1930 9:55,28
659,235178.85,1/28/1930 10:55,28
660,232469.9,1/28/1930 11:55,28
661,229381.85,1/28/1930 12:55,28
662,226702.65,1/28/1930 13:55,28
663,224952.5,1/28/1930 14:55,28
664,224983.1,1/28/1930 15:55,28
665,228032.9,1/28/1930 16:55,28
666,232821.8,1/28/1930 17:55,28
667,235882.65,1/28/1930 18:55,28
668,237217.15,1/28/1930 19:55,28
669,235974.45,1/28/1930 20:55,28
670,231313.9,1/28/1930 21:55,28
671,225050.25,1/28/1930 22:55,28
672,220140.65,1/28/1930 23:55,28
673,215249.75,1/29/1930 0:55,29
674,210431.1,1/29/1930 1:55,29
675,208579.8,1/29/1930 2:55,29
676,209983.15,1/29/1930 3:55,29
677,212607.95,1/29/1930 4:55,29
678,218121.9,1/29/1930 5:55,29
679,224421.25,1/29/1930 6:55,29
680,229871.45,1/29/1930 7:55,29
681,233273.15,1/29/1930 8:55,29
682,234367.1,1/29/1930 9:55,29
683,232256.55,1/29/1930 10:55,29
684,229339.35,1/29/1930 11:55,29
685,226638.05,1/29/1930 12:55,29
686,224564.9,1/29/1930 13:55,29
687,223318.8,1/29/1930 14:55,29
688,223895.1,1/29/1930 15:55,29
689,227899.45,1/29/1930 16:55,29
690,233360.7,1/29/1930 17:55,29
691,237395.65,1/29/1930 18:55,29
692,239603.95,1/29/1930 19:55,29
693,238749.7,1/29/1930 20:55,29
694,233876.65,1/29/1930 21:55,29
695,226529.25,1/29/1930 22:55,29
696,219707.15,1/29/1930 23:55,29
697,213751.2,1/30/1930 0:55,30
698,209242.8,1/30/1930 1:55,30
699,207555.55,1/30/1930 2:55,30
700,209802.95,1/30/1930 3:55,30
701,214377.65,1/30/1930 4:55,30
702,221142.8,1/30/1930 5:55,30
